fid,Riproietta
"1551",0.75218
"1552",0.62181
"1553",0.76941
"1554",0.81572
"1555",0.78469
"1556",0.70185
"1557",0.68294
"1558",0.72222
"1559",0.74194
"1560",0.76178
"1561",0.81662
"1562",0.81469
"1563",0.80374
"1564",0.78675
"1565",0.8521
"1566",0.84227
"1567",0.81606
"1568",0.73822
"1569",0.69644
"1570",0.70376
"1571",0.75905
"1572",0.77304
"1573",0.79172
"1574",0.74687
"1575",0.7496
"1576",0.77747
"1577",0.79799
"1578",0.78492
"1579",0.76112
"1580",0.74179
"1581",0.73067
"1582",0.7145
"1583",0.69951
"1584",0.7506
"1585",0.78372
"1586",0.72345
"1587",0.73916
"1588",0.79001
"1589",0.79385
"1590",0.77572
"1591",0.71672
"1592",0.71948
"1593",0.79001
"1594",0.76369
"1595",0.79307
"1596",0.8577
"1597",0.79159
"1598",0.77471
"1599",0.78261
"1600",0.80704
"1601",0.77379
"1602",0.6587
"1603",0.6952
"1604",0.68693
"1605",0.72204
"1606",0.70483
"1607",0.75047
"1608",0.72353
"1609",0.76329
"1610",0.79339
"1611",0.77274
"1612",0.77771
"1613",0.77443
"1614",0.79807
"1615",0.7621
"1616",0.77485
"1617",0.7233
"1618",0.70889
"1619",0.68802
"1620",0.71754
"1621",0.71754
"1622",0.8031
"1623",0.71663
"1624",0.76148
"1625",0.77573
"1626",0.70722
"1627",0.77932
"1628",0.69044
"1629",0.78638
"1630",0.72439
"1631",0.74479
"1632",0.76733
"1633",0.80731
"1634",0.77743
"1635",0.83249
"1636",0.79949
"1637",0.86379
"1638",0.82153
"1639",0.81056
"1640",0.75291
"1641",0.72118
"1642",0.75895
"1643",0.80561
"1644",0.75524
"1645",0.75196
"1646",0.73716
"1647",0.76813
"1648",0.77791
"1649",0.68998
"1650",0.71824
"1651",0.71587
"1652",0.84737
"1653",0.79637
"1654",0.81706
"1655",0.67689
"1656",0.60264
"1657",0.60093
"1658",0.61371
"1659",0.61222
"1660",0.77429
"1661",0.77745
"1662",0.77874
"1663",0.76075
"1664",0.74001
