fid,w46585_s10
"981",770.68048
"982",773.55701
"983",776.63599
"984",780.30267
"985",784.12927
"986",787.79602
"987",789.0459
"988",789.15942
"989",789.20398
"990",789.22931
"991",788.10382
"992",786.50983
"993",784.91589
"994",783.32202
"995",781.72803
"996",780.13409
"997",778.5105
"998",776.15552
"999",771.99609
"1000",767.38812
"1001",762.77991
"1002",758.18109
"1003",753.57257
"1004",748.99683
"1005",745.01459
"1006",740.98499
"1007",736.95538
"1008",735.13867
"1009",736.90302
"1010",738.64801
"1011",739.8562
"1012",740.63159
"1013",741.3822
"1014",742.48932
"1015",744.74573
"1016",745.60193
"1017",743.93481
"1018",742.35132
"1019",741.00122
"1020",739.23163
"1021",735.50732
"1022",731.55103
"1023",727.59448
"1024",724.30627
"1025",722.06708
"1026",719.34528
"1027",716.49561
"1028",713.64587
"1029",710.79633
"1030",707.94672
"1031",705.09698
"1032",702.24731
"1033",699.59479
"1034",697.61823
"1035",695.7113
"1036",693.88239
"1037",692.08148
"1038",690.28058
"1039",688.47968
"1040",686.67877
"1041",684.89032
"1042",683.12592
"1043",681.36133
"1044",679.59692
"1045",677.83252
"1046",676.11407
"1047",674.47192
"1048",672.67627
"1049",670.86877
"1050",669.06128
"1051",667.25391
"1052",665.44641
"1053",663.63892
"1054",661.83142
"1055",660.02399
"1056",658.21661
"1057",806.43829
"1058",805.46667
"1059",804.56293
"1060",803.83643
"1061",803.75403
"1062",803.51721
"1063",803.49542
"1064",803.47351
"1065",803.45172
"1066",803.36041
"1067",801.41162
"1068",799.05072
"1069",797.09363
"1070",795.38892
"1071",795.22498
"1072",795.12048
"1073",794.16937
"1074",793.38062
"1075",792.62543
"1076",792.17249
"1077",793.70251
"1078",795.09387
"1079",795.34802
"1080",795.50629
"1081",795.66467
"1082",796.00208
"1083",794.58911
"1084",793.00647
"1085",793.09979
"1086",795.09418
"1087",797.08868
"1088",799.03961
"1089",800.01971
"1090",800.47308
"1091",800.91248
"1092",801.31183
"1093",801.71112
"1094",802.11047
"1095",802.20221
"1096",802.1413
"1097",802.08038
"1098",802.01508
"1099",801.80621
"1100",800.78442
"1101",799.56409
"1102",798.31519
"1103",797.03961
"1104",795.76392
"1105",794.44061
"1106",792.72211
"1107",789.8855
"1108",786.18951
"1109",782.31189
"1110",778.45978
"1111",774.62122
"1112",773.15802
"1113",772.75708
"1114",774.5946
"1115",777.47058
"1116",781.17981
"1117",785.00629
"1118",788.83289
"1119",791.34412
"1120",791.84741
"1121",791.91168
"1122",792.00647
"1123",791.81488
"1124",790.35931
"1125",788.76538
"1126",787.17139
"1127",785.57751
"1128",783.91772
"1129",781.75342
"1130",778.63098
"1131",775.03168
"1132",770.58832
"1133",765.98022
"1134",761.1828
"1135",756.12561
"1136",751.08008
"1137",747.16168
"1138",743.30682
"1139",739.27728
"1140",739.01642
"1141",740.78082
"1142",742.54498
"1143",744.22302
"1144",745.16827
"1145",745.91888
"1146",746.66962
"1147",747.56989
"1148",748.38177
"1149",746.9621
"1150",745.61212
"1151",744.26202
"1152",741.9707
"1153",738.01428
"1154",734.05792
"1155",730.20837
"1156",726.60327
"1157",723.49658
"1158",720.67969
"1159",717.86292
"1160",715.0462
"1161",712.22931
"1162",709.41248
"1163",706.60931
"1164",703.88379
"1165",700.96082
"1166",698.5343
"1167",696.7699
"1168",695.00537
"1169",693.24103
"1170",691.4765
"1171",689.71198
"1172",687.94757
"1173",686.18323
"1174",684.4187
"1175",682.65417
"1176",680.88977
"1177",679.12543
"1178",677.46033
"1179",675.91168
"1180",674.25311
"1181",672.44928
"1182",670.64178
"1183",668.83441
"1184",667.02692
"1185",665.21948
"1186",663.41199
"1187",661.60449
"1188",659.797
"1189",811.14587
"1190",810.24213
"1191",809.72308
"1192",809.88141
"1193",810.10919
"1194",809.49841
"1195",809.23962
"1196",809.21771
"1197",809.1958
"1198",808.48102
"1199",805.79102
"1200",802.9895
"1201",800.33081
"1202",798.51538
"1203",798.44238
"1204",798.45801
"1205",797.76611
"1206",797.01068
"1207",796.25549
"1208",795.70209
"1209",797.13171
"1210",798.89063
"1211",799.35968
"1212",799.52887
"1213",799.698
"1214",799.56189
"1215",798.09723
"1216",796.51459
"1217",796.68988
"1218",798.48651
"1219",800.23743
"1220",802.21753
"1221",803.33832
"1222",803.7453
"1223",804.14471
"1224",804.54388
"1225",804.9433
"1226",805.34271
"1227",805.40839
"1228",805.34747
"1229",805.28668
"1230",805.17963
"1231",805.08698
"1232",804.66681
"1233",803.49652
"1234",802.32611
"1235",801.15338
"1236",799.94128
"1237",798.69122
"1238",796.24878
"1239",792.7016
"1240",789.38171
"1241",785.93561
"1242",781.33679
"1243",777.23462
"1244",775.96429
"1245",775.17999
"1246",776.92938
"1247",779.6579
"1248",782.47559
"1249",785.88342
"1250",789.71002
"1251",793.16321
"1252",794.23853
"1253",794.62567
"1254",794.70209
"1255",794.8092
"1256",794.20721
"1257",792.61493
"1258",791.02087
"1259",789.32208
"1260",787.06439
"1261",784.46771
"1262",781.04962
"1263",777.56702
"1264",773.65222
"1265",768.66412
"1266",763.53522
"1267",758.4104
"1268",753.29797
"1269",748.76947
"1270",745.29199
"1271",742.06049
"1272",742.89423
"1273",744.6582
"1274",746.42218
"1275",748.18628
"1276",749.60217
"1277",750.26282
"1278",750.90668
"1279",751.4823
"1280",751.43481
"1281",750.17719
"1282",748.87219
"1283",747.52271
"1284",744.47772
"1285",740.69153
"1286",737.1416
"1287",733.7207
"1288",730.29993
"1289",726.87903
"1290",723.74091
"1291",720.91357
"1292",718.09668
"1293",715.32867
"1294",712.63843
"1295",710.02393
"1296",707.40948
"1297",704.34558
"1298",700.09619
"1299",698.06268
"1300",696.29828
"1301",694.53381
"1302",692.76947
"1303",691.005
"1304",689.24048
"1305",687.47607
"1306",685.71149
"1307",683.9472
"1308",682.18268
"1309",680.42181
"1310",678.81427
"1311",677.26593
"1312",675.71698
"1313",674.02979
"1314",672.22241
"1315",670.41492
"1316",668.60742
"1317",666.79993
"1318",664.99249
"1319",663.18512
"1320",661.25787
"1321",815.94672
"1322",815.63129
"1323",815.86603
"1324",816.1134
"1325",816.36072
"1326",816.03162
"1327",815.11102
"1328",814.96179
"1329",814.89972
"1330",813.00513
"1331",810.20361
"1332",807.41882
"1333",804.85022
"1334",803.41278
"1335",803.66772
"1336",802.50177
"1337",801.49011
"1338",800.69287
"1339",799.91229
"1340",799.23572
"1341",800.8808
"1342",803.23138
"1343",803.78009
"1344",803.96008
"1345",804.14001
"1346",803.75812
"1347",801.90039
"1348",800.10571
"1349",799.98743
"1350",801.37231
"1351",803.29889
"1352",805.35681
"1353",806.54572
"1354",806.97418
"1355",807.37671
"1356",807.77612
"1357",808.17542
"1358",808.56763
"1359",808.61462
"1360",808.55377
"1361",808.47949
"1362",808.31012
"1363",808.20349
"1364",808.2522
"1365",807.36829
"1366",806.19812
"1367",805.02759
"1368",803.8573
"1369",802.50848
"1370",799.92407
"1371",796.73248
"1372",793.34387
"1373",788.98053
"1374",784.35107
"1375",780.37378
"1376",779.15649
"1377",778.40442
"1378",779.57758
"1379",782.23828
"1380",784.92542
"1381",787.63562
"1382",790.7027
"1383",794.4137
"1384",796.47693
"1385",797.1192
"1386",797.39948
"1387",797.50458
"1388",797.54492
"1389",796.46429
"1390",794.67218
"1391",792.36298
"1392",789.97559
"1393",786.95081
"1394",783.4682
"1395",779.86938
"1396",776.09167
"1397",771.39069
"1398",766.24518
"1399",761.09991
"1400",755.95441
"1401",751.12439
"1402",747.47913
"1403",745.16968
"1404",746.76123
"1405",748.52502
"1406",750.3042
"1407",752.10327
"1408",753.39618
"1409",753.78149
"1410",754.34998
"1411",754.91858
"1412",754.40912
"1413",753.17761
"1414",751.94598
"1415",750.55902
"1416",747.75012
"1417",744.3252
"1418",740.90033
"1419",737.47552
"1420",734.0506
"1421",730.62567
"1422",727.20081
"1423",724.07898
"1424",721.41663
"1425",718.80212
"1426",716.18768
"1427",713.57312
"1428",710.95868
"1429",707.94208
"1430",703.15692
"1431",699.41022
"1432",697.59119
"1433",695.82678
"1434",694.06232
"1435",692.29791
"1436",690.53339
"1437",688.76898
"1438",687.00452
"1439",685.23999
"1440",683.47559
"1441",681.74103
"1442",680.16852
"1443",678.61987
"1444",677.07141
"1445",675.51453
"1446",673.80292
"1447",671.99542
"1448",670.18799
"1449",668.38049
"1450",666.573
"1451",664.72919
"1452",662.36737
"1453",821.60309
"1454",821.85052
"1455",822.0979
"1456",822.34528
"1457",822.59271
"1458",822.57971
"1459",821.59332
"1460",820.78369
"1461",820.07849
"1462",817.50623
"1463",815.04163
"1464",812.79303
"1465",810.72223
"1466",810.41669
"1467",808.974
"1468",806.20837
"1469",805.26062
"1470",804.55811
"1471",803.75208
"1472",803.30219
"1473",805.68573
"1474",807.94153
"1475",808.31378
"1476",808.4939
"1477",808.67383
"1478",807.92651
"1479",806.05328
"1480",803.96863
"1481",803.47552
"1482",804.78979
"1483",806.43817
"1484",808.49622
"1485",809.75018
"1486",810.18457
"1487",810.60748
"1488",811.00818
"1489",811.40759
"1490",811.78668
"1491",811.8208
"1492",811.75989
"1493",811.62659
"1494",811.43903
"1495",811.32458
"1496",811.44391
"1497",811.19397
"1498",810.06989
"1499",808.89948
"1500",807.72919
"1501",806.05292
"1502",803.35651
"1503",800.60413
"1504",796.64459
"1505",792.03979
"1506",787.43488
"1507",783.51318
"1508",782.35132
"1509",781.97351
"1510",782.30737
"1511",784.9494
"1512",787.60852
"1513",790.26758
"1514",792.93262
"1515",795.71429
"1516",798.52002
"1517",799.36261
"1518",799.8728
"1519",800.1275
"1520",800.23932
"1521",799.84943
"1522",797.6618
"1523",795.27441
"1524",792.73248
"1525",789.35663
"1526",785.7146
"1527",781.95459
"1528",778.19452
"1529",774.14392
"1530",769.08069
"1531",763.93518
"1532",758.78979
"1533",754.07257
"1534",750.0542
"1535",748.86249
"1536",750.64508
"1537",752.44757
"1538",754.25513
"1539",756.06262
"1540",757.0899
"1541",757.2179
"1542",757.7865
"1543",758.25989
"1544",757.38342
"1545",756.15198
"1546",754.88208
"1547",753.28552
"1548",751.14063
"1549",748.29559
"1550",744.88098
"1551",741.45209
"1552",738.02332
"1553",734.59442
"1554",731.16553
"1555",727.9231
"1556",725.02252
"1557",722.35132
"1558",719.73682
"1559",717.12231
"1560",714.50781
"1561",711.53857
"1562",706.80078
"1563",701.88049
"1564",698.88422
"1565",697.11963
"1566",695.35522
"1567",693.59082
"1568",691.82629
"1569",690.06189
"1570",688.29742
"1571",686.53302
"1572",684.76849
"1573",683.07147
"1574",681.52252
"1575",679.974
"1576",678.42548
"1577",676.87701
"1578",675.31189
"1579",673.57593
"1580",671.76837
"1581",669.961
"1582",668.15363
"1583",665.98578
"1584",663.40253
"1585",826.9726
"1586",827.14478
"1587",827.31689
"1588",827.48901
"1589",827.66119
"1590",827.68158
"1591",827.06519
"1592",826.38489
"1593",825.065
"1594",823.05847
"1595",820.83838
"1596",818.61353
"1597",817.16577
"1598",815.4491
"1599",812.68347
"1600",809.91779
"1601",808.65582
"1602",808.43231
"1603",807.62622
"1604",807.47693
"1605",810.57233
"1606",812.63733
"1607",812.84747
"1608",813.02759
"1609",813.20758
"1610",812.07928
"1611",810.10162
"1612",807.49707
"1613",806.96362
"1614",808.26172
"1615",809.6698
"1616",811.63562
"1617",812.95477
"1618",813.38922
"1619",813.82349
"1620",814.24042
"1621",814.63977
"1622",815.00598
"1623",815.02698
"1624",814.9361
"1625",814.75549
"1626",814.56787
"1627",814.44733
"1628",814.5603
"1629",814.66309
"1630",813.94171
"1631",812.77142
"1632",811.59668
"1633",809.39899
"1634",806.6936
"1635",803.71283
"1636",799.43073
"1637",795.1236
"1638",790.51868
"1639",786.65253
"1640",785.73102
"1641",785.5741
"1642",785.34528
"1643",787.66199
"1644",790.32123
"1645",792.98029
"1646",795.6394
"1647",798.29858
"1648",800.58972
"1649",801.34967
"1650",801.71118
"1651",802.07269
"1652",802.45093
"1653",801.8501
"1654",800.28168
"1655",798.18549
"1656",795.24048
"1657",791.54657
"1658",787.78662
"1659",784.02661
"1660",780.26648
"1661",776.50641
"1662",771.91602
